,match_id,runs_after_10_overs,wickets_left,final_score
0,335982,87,9,222
1,335983,88,7,240
2,335984,57,6,129
3,335985,74,8,165
4,335988,45,6,142
5,335989,82,8,208
6,335990,85,7,214
7,335991,94,8,182
8,335992,77,5,135
9,335993,72,5,147
10,335994,54,7,154
11,335995,69,6,158
12,335996,65,8,178
13,335997,60,7,137
14,335998,91,9,191
15,335999,76,7,164
16,336000,89,8,196
17,336001,82,8,169
18,336003,85,8,178
19,336034,80,9,156
20,336004,74,8,162
21,336007,66,6,144
22,336009,83,8,187
23,336011,74,9,140
24,336013,85,7,181
25,336014,73,9,204
26,336015,68,7,156
27,336016,74,7,143
28,336017,69,8,133
29,336018,57,6,156
30,336020,76,9,194
31,336023,94,10,197
32,336024,78,7,178
33,336025,61,8,149
34,336026,70,8,154
35,336027,59,8,147
36,336028,84,9,189
37,336029,41,6,126
38,336031,70,10,175
39,336032,81,9,176
40,336033,107,10,211
41,336002,81,10,165
42,336035,82,9,174
43,336036,60,10,145
44,336037,57,8,147
45,336019,88,10,221
46,336038,83,7,192
47,336039,45,4,112
48,336040,75,8,163
49,392181,64,9,165
50,392182,57,6,133
51,392185,106,10,179
52,392186,67,7,158
53,392188,91,8,184
54,392189,90,7,189
55,392190,78,6,150
56,392191,71,7,168
57,392192,88,9,168
58,392194,74,7,149
59,392195,60,6,139
60,392196,88,8,165
61,392197,111,10,187
62,392198,66,6,143
63,392199,61,7,139
64,392200,50,7,119
65,392201,55,6,148
66,392202,81,8,164
67,392203,61,7,148
68,392204,62,7,145
69,392205,58,7,141
70,392206,77,8,163
71,392207,52,9,153
72,392208,53,7,149
73,392209,84,9,178
74,392210,93,10,211
75,392211,69,9,154
76,392212,63,7,145
77,392213,49,6,105
78,392215,43,6,116
79,392216,72,7,168
80,392217,61,8,140
81,392218,67,8,157
82,392219,52,5,123
83,392220,77,7,166
84,392221,69,8,173
85,392222,70,6,119
86,392223,81,7,173
87,392225,66,8,145
88,392226,52,6,120
89,392227,70,8,147
90,392228,50,9,160
91,392229,55,6,134
92,392230,60,8,150
93,392231,83,8,188
94,392232,63,7,134
95,392233,60,5,101
96,392234,70,6,116
97,392235,72,7,165
98,392236,64,8,170
99,392237,83,8,153
100,392238,74,8,146
101,392239,62,7,143
102,419106,57,6,161
103,419107,101,7,212
104,419108,76,6,142
105,419109,57,6,135
106,419110,80,8,190
107,419111,57,6,141
108,419112,87,10,203
109,419113,59,7,164
110,419114,112,8,218
111,419116,88,9,185
112,419117,100,9,170
113,419118,92,7,168
114,419119,74,7,151
115,419120,77,7,171
116,419121,59,7,136
117,419122,67,10,155
118,419123,67,7,171
119,419124,87,8,183
120,419125,85,8,180
121,419128,95,8,183
122,419126,79,6,148
123,419127,75,8,183
124,419129,96,9,177
125,419130,77,7,172
126,419131,91,7,177
127,419132,85,8,163
128,419133,80,8,161
129,419134,79,6,188
130,419135,80,7,181
131,419136,74,8,181
132,419137,91,8,246
133,419138,70,7,178
134,419139,69,9,200
135,419140,89,7,184
136,419142,85,8,165
137,419143,86,8,153
138,419144,87,10,181
139,419145,68,7,184
140,419146,74,6,154
141,419147,74,8,138
142,419148,83,9,160
143,419150,73,7,174
144,419151,71,7,151
145,419152,66,8,183
146,419153,51,6,139
147,419154,53,7,130
148,419155,55,4,112
149,419156,72,9,174
150,419157,75,9,191
151,419158,73,8,132
152,419159,86,9,192
153,419160,79,6,145
154,419161,69,8,133
155,419162,81,6,184
156,419163,62,7,142
157,419165,58,8,168
158,501198,78,9,153
159,501199,69,7,137
160,501200,82,9,161
161,501203,65,9,163
162,501204,43,6,151
